Tree_ID,Name,Scientific_Name,Latitude,Longitude,Tree_Circumference(cm),DBH(cm),Height(m),Wood_density,AGB,Carbon_Storage(C)
UTMBERSERIA00119,Chebuly Myrobalan,,1.5595295,103.6354403,110,35.0140056,14,0.6,542.156449,271.0782245
UTMBERSERIA00120,Chebulic Myrobalan,,1.5596769,103.6350435,170,54.11255411,15,0.6,542.202409,271.1012045
UTMBERSERIA00121,Mango Tree,,1.5595769,103.6349722,14,4.456327986,4,0.6,542.1677515,271.0838757
UTMBERSERIA00122,Malay Apple,,1.559904256,103.6351363,140,44.56327986,10,0.6,542.2804979,271.1402489
UTMBERSERIA00123,Champak Tree,,1.560002075,103.6350918,163,51.88439012,12,0.6,542.3132324,271.1566162
UTMBERSERIA00124,Mangosteen,,1.559904483,103.6351042,36,11.45912911,2.4,0.6,542.2802465,271.1401233
UTMBERSERIA00125,Breadfruit,,1.559911152,103.6349312,59,18.78023937,3.85,0.6,542.2807418,271.1403709
UTMBERSERIA00126,Asplenium nidus L.,,1.559821258,103.6352364,160,50.92946269,10,0.6,542.2533591,271.1266795
UTMBERSERIA00127,Asplenium nidus,,1.559812892,103.6353659,200,63.66182837,10,0.6,542.2518432,271.1259216
UTMBERSERIA00128,Tectona grandis ,,1.55972995,103.6353931,180,57.29564553,10,0.6,542.2239788,271.1119894
UTMBERSERIA00129,Syzygium malaccense,,1.559694912,103.635519,16,5.092946269,9,0.523488,474.6216845,237.3108422
UTMBERSERIA00130,Bread Fruit,,1.560021764,103.6349366,215,68.4364655,6.89,0.6,542.318327,271.1591635
UTMBERSERIA00131,West Indian mahogany,,1.560068214,103.6349771,27,8.59434683,645,0.6,542.3345008,271.1672504
UTMBERSERIA00132,Malay apple,,1.56010189,103.6349595,34,10.82251082,4.45,0.6,542.3457474,271.1728737
UTMBERSERIA00133,Malay Apple,,1.560048,103.6350125,34,10.82251082,3.7,0.6,542.3280041,271.1640021
UTMBERSERIA00134,Chengal Pasir,,1.5601113,103.6349892,18,5.729564553,1.96,0.6,542.3492433,271.1746217
UTMBERSERIA00135,Rambutan,,1.5601309,103.6351358,175,55.70409982,3.5,0.6,542.357391,271.1786955
UTMBERSERIA00136,Mangosteen,,1.5594247,103.6356736,18,5.729564553,2.21,0.6,542.1232728,271.0616364
UTMBERSERIA00137,Rambutan,,1.560226642,103.6349856,111,35.33231474,30,0.6,542.3883412,271.1941706
UTMBERSERIA00138,ice cream bean,,1.560207036,103.6351036,32,10.18589254,3.6,0.6,542.3828944,271.1914472
UTMBERSERIA00139,Bilimbi,,1.560210306,103.6350997,33,10.50420168,3,0.6,542.3839643,271.1919821
UTMBERSERIA00140,African Tulip Tree,,1.560201956,103.6352216,63,20.05347594,8,0.6,542.3823762,271.1911881
UTMBERSERIA00141,Ant Tree,,1.560193654,103.6352049,27,8.59434683,3,0.6,542.3793884,271.1896942
UTMBERSERIA00142,African Tulip Tree,,1.560177685,103.6351993,23,7.321110262,5.3,0.6,542.3739132,271.1869566
UTMBERSERIA00143,Belimbi,,1.5602606,103.6350736,17,5.411255411,2.5,0.6,542.4007618,271.2003809
UTMBERSERIA00192,African Tulip Tree,,1.56069,103.6357,105,33.42245989,9.3,0.6,3177.543862,1588.771931
UTMBERSERIA00193,Syzygium cumini,,1.560711,103.6357,53,16.87038452,7,0.6,634.0052718,317.0026359
UTMBERSERIA00194,Syzygium cumini,,1.560725,103.6357,71,22.59994907,6.9,0.6,1106.276517,553.1382587
UTMBERSERIA00195,Amboyan-wood ,,1.560713,103.6357,88,28.01120448,7.3,0.6,1777.149534,888.5747672
UTMBERSERIA00196,Yellow bells,,1.560746,103.6359,106,33.74076903,4.75,0.6,1680.121528,840.0607639
UTMBERSERIA00197,African Tulip Tree,,1.560698,103.6359,69,21.96333079,6.56,0.6,995.9149619,497.957481
UTMBERSERIA00198,Clove,,1.560675,103.6359,60,19.09854851,7.2,0.6,830.2300373,415.1150186
UTMBERSERIA00199,pagoda-tree,,1.560638,103.6359,62,19.73516679,8.32,0.6,1019.247439,509.6237196
UTMBERSERIA00200,pagoda-tree,,1.560617,103.6359,53,16.87038452,4.86,0.6,444.0523583,222.0261791
UTMBERSERIA00201,pagoda-tree,,1.560558,103.636,138,43.92666157,8.2,0.6,4790.898623,2395.449312
UTMBERSERIA00222,Mimusops elengi,,1.560552958,103.637372,96,30.55767762,4.73,0.81,1848.222968,924.1114839
UTMBERSERIA00223,Pongamia pinnata (L.) Pierre,,1.560522029,103.637303,2.89,0.91991342,5.6,0.6,1.743390953,0.871695477
UTMBERSERIA00224,Darwin Black Wattle ,,1.560415998,103.637216,325.4,103.5777948,10.75,0.6,33295.41256,16647.70628
UTMBERSERIA00225,Golden Shower Tree,,1.560522029,103.637041,78,24.82811306,5.26,0.6,1019.862059,509.9310294
UTMBERSERIA00226,Breadfruit,,1.560507026,103.636947,107.7,34.28189458,3.97,0.6,1454.773134,727.3865668
UTMBERSERIA00227,Breadfruit ,,1.56056704,103.636889,124.1,39.5021645,3.39,0.6,1644.402421,822.2012105
UTMBERSERIA00228,Australian cheesewood,,1.560420021,103.636903,46,14.64222052,2.56,0.6,180.150793,90.0753965
UTMBERSERIA00229,Mango,,1.560368976,103.63644,85,27.05627706,2.12,0.6,496.844204,248.422102
UTMBERSERIA00230,Mabolo,,1.560266968,103.636477,45,14.32391138,2.56,0.6,172.5852666,86.29263328
UTMBERSERIA00231,Yellow Mombin,,1.560300998,103.636334,223,70.98293863,7.25,0.6,10841.05809,5420.529047
UTMBERSERIA00232,Maly Apple ,,1.560347015,103.636307,47.5,15.11968424,5,0.6,368.630559,184.3152795
